Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,                                                                                                          REVISION LOG ,,,,,
,,,,,,,
,Section,Page,Date,Revision,Description of Change,Prepared By,Approved by
,,,16/10/09,1.0,"Overall update, change number to MEL",Daniel C,Lawrence Chan
,,,22/05/12,2.0,revision update to shown total time in Hrs.,Nick N,Nick N
,,,30/01/13,3.0,Revision update to show Movex time in Hr instead of quoted Time in cell E12,Nick N,Nick N
,,,2014-02-05 00:00:00,4,Reformat and udpate entire worksheet.  Add & delete various sections to better match current SRX Melbourne processes.,Branko Polak,Nick Niculita
,,,2014-02-21 00:00:00,5,Added total time to Movex routing template at bottom of spreadsheet - required for Movex route upload.,Branko Polak,Nick Niculita
,,,2014-03-03 00:00:00,6,"* Renamed PTH HAND LOAD to HAND INSERT (THROUGH HOLE).
* Update formula so that REPORTING (ERP / SFDC) time gets added to QA in Movex route, not to Packing.",Branko Polak,Nick Niculita
,,,2016-08-19 00:00:00,7,"Added currency column for NRE, Added Reviewed By field in header, Added formatting to Movex routing table to highlight cells with values > 0.  Added automation table for multiple batch sizes in header.","Branko Polak
Joshua Kerridge",Nick Niculita
